Theme,PM Management,Input-Output,Package
RubyGems,79.18935903,10.67239212,10.13824885
Maven,79.46750721,15.78163772,4.750855073
CPAN,77.99467613,14.01952085,7.985803017
PIP,81.78178178,12.21221221,6.006006006
Go,30.69509554,32.02293982,37.28196464
RStudio,78.18181818,10,11.81818182
Puppet,71.93078824,12.82614666,15.24306509
Nuget,90.49719326,5.944266239,3.558540497
npm,76.88724157,14.05059848,9.062159956
Meteor,22.15356204,22.4767384,55.36969955
Composer,90.49586777,6.198347107,3.305785124
Bower,81.74302446,8.508439545,9.748535997
Conda,82.52167497,10.72680317,6.751521859
